seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2673,103.64,34.64,59526043649.0,245.0,274058423736.0,153968829.0,1.4519947333333334,87.0,139.109357,3.06,35.0,3.3,141.36
2674,114.31,36.31,66360420107.0,246.0,274212392565.0,167928375.0,1.4686806,88.0,153.968829,3.06,35.0,3.4,131.69
2675,99.07,33.23,57529400972.0,256.0,274380320940.0,143951036.0,1.4853497333333334,89.0,167.928375,3.53,34.0,3.4,156.93
2676,87.51,33.52,44555914678.0,264.0,274524271976.0,126963568.0,1.5020180333333333,90.0,143.951036,3.53,34.0,3.4,176.49
2677,71.94,34.26,23122334226.0,252.0,274651235544.0,105847256.0,1.5186924333333331,91.0,126.963568,3.53,20.0,3.4,180.06
2678,76.91,34.92,29701435385.0,234.0,274757082800.0,114117088.0,1.5353668999999999,92.0,105.847256,3.53,20.0,3.4,157.09
2679,75.31,34.23,29765486178.0,209.0,274871199888.0,110013408.0,1.55204015,93.0,114.117088,3.53,18.0,3.4,133.69
2680,74.33,33.43,30053403688.0,213.0,274981213296.0,109213368.0,1.5687128666666665,94.0,110.013408,3.53,18.0,3.4,138.67000000000002
2681,85.04,33.62,39746392459.0,221.0,275090426664.0,125329056.0,1.5853850166666668,95.0,109.213368,3.73,22.0,3.4,135.95999999999998
2682,89.22,34.3,41828929145.0,224.0,275215755720.0,131378388.0,1.60205535,96.0,125.329056,3.73,22.0,3.5,134.78
2683,89.83,34.59,43803865527.0,231.0,275347134108.0,132536720.0,1.6187204,97.0,131.378388,3.73,33.0,3.5,141.17000000000002
2684,96.3,35.41,51246600794.0,236.0,275479670828.0,143884579.0,1.6354040833333334,98.0,132.53672,3.73,33.0,3.5,139.7
2685,115.75,36.43,74458720459.0,242.0,275623555407.0,169671801.0,1.6521365000000001,99.0,143.884579,5.04,58.0,3.6,126.25
2686,121.66,37.33,83015026168.0,251.0,275793227208.0,180380088.0,1.6687950333333332,100.0,169.671801,5.04,58.0,3.7,129.34
2687,128.13,38.35,94795169719.0,265.0,275973607296.0,187673352.0,1.6854722,101.0,180.380088,5.04,72.0,3.7,136.87
2688,125.92,37.47,94061768524.0,269.0,276161280648.0,186017307.0,1.7021511999999999,102.0,187.673352,5.04,72.0,3.8,143.07999999999998
2689,127.4,36.85,93997844084.0,268.0,276347297955.0,186882489.0,1.7188243,103.0,186.017307,5.04,71.0,3.8,140.6
2690,116.3,36.17,75538030342.0,274.0,276534180444.0,169956492.0,1.7355003000000002,104.0,186.882489,5.04,71.0,3.9,157.7
2691,113.2,38.18,69732666433.0,271.0,276704136936.0,166657557.0,1.7521755166666668,105.0,169.956492,6.07,56.0,3.9,157.8
2692,106.57,38.71,57174823999.0,268.0,276870794493.0,156438391.0,1.7688545833333333,106.0,166.657557,6.07,56.0,3.9,161.43
2693,104.24,38.4,56090597158.0,265.0,277027232884.0,153289172.0,1.7855288833333334,107.0,156.438391,6.07,51.0,4.0,160.76
2694,114.01,38.84,75895309304.0,261.0,277180522056.0,168650760.0,1.8022106,108.0,153.289172,6.07,51.0,4.0,146.99
2695,127.74,38.0,94892225290.0,260.0,277349172816.0,188607202.0,1.8188885166666668,109.0,168.65076,7.11,64.0,4.0,132.26
2696,124.24,36.99,88604234336.0,259.0,277537780018.0,182046782.0,1.8355671333333334,110.0,188.607202,7.11,64.0,4.1,134.76
2697,113.85,35.69,74427580646.0,273.0,277719826800.0,166190400.0,1.8522502,111.0,182.046782,7.11,48.0,4.1,159.15
2698,109.66,36.53,66130652778.0,257.0,277886017200.0,162483984.0,1.8689285,112.0,166.1904,7.11,48.0,4.1,147.34
2699,119.11,38.85,71271157196.0,259.0,278048501184.0,174036456.0,1.8856078833333332,113.0,162.483984,7.11,46.0,4.1,139.89
2700,90.29,36.05,39481752108.0,268.0,278222537640.0,131486353.0,1.9022941166666667,114.0,174.036456,7.11,46.0,4.1,177.70999999999998
2701,82.42,37.08,27164115096.0,265.0,278354023993.0,120612839.0,1.9189674333333333,115.0,131.486353,7.1,26.0,4.1,182.57999999999998
2702,70.86,35.2,21701716312.0,253.0,278474636832.0,102694950.0,1.9356409333333333,116.0,120.612839,7.1,26.0,4.1,182.14
