timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823124178,sensor,all,1,38,299211423744,62125969245,62125969245
1692823125181,sensor,all,0,21,385958281216,63129346291,63129346291
1692823125181,sensor,all,1,38,296480145408,63129344745,63129344745
1692823126185,sensor,all,0,21,454146916352,64132826868,64132826868
1692823126185,sensor,all,1,38,298478469120,64132831365,64132831365
1692823127188,sensor,all,0,21,337251401728,65135548251,65135548251
1692823127188,sensor,all,1,38,263511080960,65135543761,65135543761
1692823128191,sensor,all,0,21,308942733312,66139541263,66139541263
1692823128191,sensor,all,1,38,260250533888,66139537143,66139537143
1692823129194,sensor,all,0,21,318124064768,67142251013,67142251013
1692823129194,sensor,all,1,38,245877440512,67142248517,67142248517
1692823130197,sensor,all,0,21,298213965824,68145000563,68145000563
1692823130197,sensor,all,1,38,281709117440,68145001463,68145001463
1692823131200,sensor,all,0,21,324065296384,69149270412,69149270412
1692823131200,sensor,all,1,38,280549392384,69149266479,69149266479
1692823132204,sensor,all,0,21,327681572864,70152778416,70152778416
1692823132204,sensor,all,1,38,289365819392,70152774818,70152774818
1692823133208,sensor,all,0,21,340082556928,71156346683,71156346683
1692823133208,sensor,all,1,38,298872733696,71156343434,71156343434
1692823134212,sensor,all,0,21,379097448448,72160561765,72160561765
1692823134212,sensor,all,1,38,316325756928,72160559034,72160559034
1692823135215,sensor,all,0,21,326333366272,73163359287,73163359287
1692823135215,sensor,all,1,38,307266322432,73163356581,73163356581
1692823136217,sensor,all,0,21,433819484160,74165832911,74165832911
1692823136217,sensor,all,1,38,297971482624,74165835761,74165835761
1692823137221,sensor,all,0,21,445770104832,75168881847,75168881847
1692823137221,sensor,all,1,38,307993509888,75168878943,75168878943
1692823138223,sensor,all,0,21,421272748032,76171325502,76171325502
1692823138223,sensor,all,1,38,289397276672,76171321186,76171321186
1692823139226,sensor,all,0,21,378390183936,77175532576,77175532576
1692823139226,sensor,all,1,38,316690661376,77175576325,77175576325
1692823140230,sensor,all,0,21,375470686208,78178604182,78178604182
1692823140230,sensor,all,1,38,299377360896,78178602164,78178602164
1692823141235,sensor,all,0,21,380155199488,79182120413,79182120413
1692823141235,sensor,all,1,38,289160298496,79182112806,79182112806
1692823142238,sensor,all,0,21,360734785536,80185993187,80185993187
1692823142238,sensor,all,1,38,304461643776,80185989844,80185989844
1692823143243,sensor,all,0,21,410161250304,81191518167,81191518167
1692823143243,sensor,all,1,38,298663804928,81191514315,81191514315
1692823144247,sensor,all,0,21,340185055232,82195537438,82195537438
1692823144247,sensor,all,1,38,271542910976,82195534047,82195534047
1692823145251,sensor,all,0,21,343844847616,83199415492,83199415492
1692823145251,sensor,all,1,38,286340415488,83199410921,83199410921
1692823146254,sensor,all,0,21,365575274496,84202959982,84202959982
1692823146254,sensor,all,1,38,311862755328,84202955712,84202955712
1692823147258,sensor,all,0,21,357327962112,85206628835,85206628835
1692823147258,sensor,all,1,38,293080137728,85206619514,85206619514
