timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,UNHALTED_CORE_CYCLES,time_enabled,time_running
1681416620910,sensor,all,0,5,46587541,23297657,387501564847,387501564847
1681416620910,sensor,all,0,23,130590695,63114386,387502398755,387502398755
1681416620910,sensor,all,0,20,4287201101,1856553534,387507699670,387507699670
1681416620910,sensor,all,0,6,65043597,30728935,387502091544,387502091544
1681416620910,sensor,all,0,7,90151121,42464478,387499961033,387499961033
1681416620910,sensor,all,0,21,5775913365,2102633710,387515154058,387515154058
1681416620910,sensor,all,0,8,7699628858,3224457078,387501182252,387501182252
1681416620910,sensor,all,0,9,77764478,38233487,387502281959,387502281959
1681416620910,sensor,all,0,11,735617676,326817589,387494940819,387494940819
1681416620910,sensor,all,0,10,146043799,92332601,387494693939,387494693939
1681416621911,sensor,all,0,13,87550458,44506914,388517189793,388517189793
1681416621911,sensor,all,0,12,126510221,58851869,388506222484,388506222484
1681416621911,sensor,all,0,15,5048007364,2103473391,388515747594,388515747594
1681416621911,sensor,all,0,14,87523655,41250856,388503385262,388503385262
1681416621911,sensor,all,0,17,175454807,83217744,388511972219,388511972219
1681416621911,sensor,all,0,0,126716602,68527030,388503309421,388503309421
1681416621911,sensor,all,0,16,4025258964,1736517509,388505853266,388505853266
1681416621911,sensor,all,0,1,189241784,168550264,388508425978,388508425978
1681416621911,sensor,all,0,19,107576491,49571966,388497045945,388497045945
1681416621911,sensor,all,0,2,119602498,60368187,388505791380,388505791380
1681416621911,sensor,all,0,18,6161726369,2103713056,388504659681,388504659681
1681416621911,sensor,all,0,3,111738167,59738541,388499370051,388499370051
1681416621911,sensor,all,0,22,98627879,50228365,388501607863,388501607863
1681416621911,sensor,all,0,4,67678910,32047474,388505953573,388505953573
1681416621911,sensor,all,0,5,74790042,36127357,388503237335,388503237335
1681416621911,sensor,all,0,23,96494968,44861040,388504078863,388504078863
1681416621911,sensor,all,0,20,3618799971,1598507134,388509295525,388509295525
1681416621911,sensor,all,0,6,129761954,94014256,388503739360,388503739360
1681416621911,sensor,all,0,7,63388987,34035220,388501584653,388501584653
1681416621911,sensor,all,0,21,5779466340,2103680113,388516912498,388516912498
1681416621911,sensor,all,0,8,6944424489,2604227041,388502944599,388502944599
1681416621911,sensor,all,0,9,68842813,33571676,388503956479,388503956479
1681416621911,sensor,all,0,11,6870960453,3067486007,388496714442,388496714442
1681416621911,sensor,all,0,10,90055826,40739283,388496354519,388496354519
1681416622913,sensor,all,0,13,28906959,15026843,389518971495,389518971495
1681416622913,sensor,all,0,12,122104762,56709984,389507917081,389507917081
1681416622913,sensor,all,0,15,4238817962,1762055539,389517562992,389517562992
1681416622913,sensor,all,0,14,167437534,117476713,389505089767,389505089767
1681416622913,sensor,all,0,17,145997322,66955578,389513638665,389513638665
1681416622913,sensor,all,0,0,107659716,57140267,389504986679,389504986679
1681416622913,sensor,all,0,16,4186787298,1792862235,389507657495,389507657495
1681416622913,sensor,all,0,1,75365439,34730751,389510169962,389510169962
1681416622913,sensor,all,0,19,98249310,53196415,389498715374,389498715374
1681416622913,sensor,all,0,2,176061504,158939135,389507514204,389507514204
1681416622913,sensor,all,0,18,6164274262,2103789020,389506480138,389506480138
1681416622913,sensor,all,0,3,90142039,43949558,389501101561,389501101561
1681416622913,sensor,all,0,22,66120944,36397669,389503375690,389503375690
1681416622913,sensor,all,0,4,60302640,34711968,389507738325,389507738325
1681416622913,sensor,all,0,5,53837465,25482729,389504987570,389504987570
1681416622913,sensor,all,0,23,76952425,38569383,389505817678,389505817678
1681416622913,sensor,all,0,20,19683070,21904070,389511013963,389511013963
1681416622913,sensor,all,0,6,48396366,23658742,389505500280,389505500280
1681416622913,sensor,all,0,7,32585640,16621035,389503364961,389503364961
1681416622913,sensor,all,0,21,5777149674,2103857642,389518759208,389518759208
1681416622913,sensor,all,0,8,323952,901680,389504795496,389504795496
1681416622913,sensor,all,0,9,39275108,18668631,389505742393,389505742393
1681416622913,sensor,all,0,11,5988045005,2663346033,389498535481,389498535481
1681416622913,sensor,all,0,10,48198907,22969022,389498130383,389498130383
1681416623915,sensor,all,0,13,14430935,8301949,390520736695,390520736695
1681416623915,sensor,all,0,12,49628071,26111796,390509624189,390509624189
1681416623915,sensor,all,0,15,4112528925,1724392941,390519378739,390519378739
1681416623915,sensor,all,0,14,113357273,90684143,390506855091,390506855091
1681416623915,sensor,all,0,17,77477259,35527527,390515296314,390515296314
1681416623915,sensor,all,0,0,51096818,33562264,390506725443,390506725443
1681416623915,sensor,all,0,16,4299912713,1835912301,390509485062,390509485062
1681416623915,sensor,all,0,1,44768869,21495337,390511946184,390511946184
1681416623915,sensor,all,0,19,61669497,34649496,390500374124,390500374124
1681416623915,sensor,all,0,2,65763683,31041170,390509236728,390509236728
1681416623915,sensor,all,0,18,6158482417,2103830847,390508323821,390508323821
1681416623915,sensor,all,0,3,54403985,35615292,390502854645,390502854645
1681416623915,sensor,all,0,22,48087956,25206408,390505143458,390505143458
1681416623915,sensor,all,0,4,51953458,24983423,390509504560,390509504560
1681416623915,sensor,all,0,5,48416732,22509859,390506735237,390506735237
1681416623915,sensor,all,0,23,51518944,26960480,390507587722,390507587722
1681416623915,sensor,all,0,20,3427626,8972492,390512767376,390512767376
1681416623915,sensor,all,0,6,54540450,30927729,390507200893,390507200893
1681416623915,sensor,all,0,7,56447875,32252526,390505128544,390505128544
1681416623915,sensor,all,0,21,70490144,28068668,390520599524,390520599524
1681416623915,sensor,all,0,8,7129638,11599671,390506576111,390506576111
1681416623915,sensor,all,0,9,37960842,22883318,390507497965,390507497965
1681416623915,sensor,all,0,11,6237426100,2794217587,390500346684,390500346684
1681416623915,sensor,all,0,10,22252310,12546988,390499881822,390499881822
1681416624917,sensor,all,0,13,938900,3484081,391522580177,391522580177
1681416624917,sensor,all,0,12,15559642,13683662,391511384534,391511384534
1681416624917,sensor,all,0,15,4466601608,1812880011,391521252103,391521252103
1681416624917,sensor,all,0,14,76573644,74495939,391508643629,391508643629
1681416624917,sensor,all,0,17,51732204,29426803,391517039161,391517039161
1681416624917,sensor,all,0,0,13371769,18807052,391508393226,391508393226
1681416624917,sensor,all,0,16,1709841789,742533692,391511244512,391511244512
1681416624917,sensor,all,0,1,23894181,16047872,391513710192,391513710192
1681416624917,sensor,all,0,19,15169278,11697424,391502106271,391502106271
1681416624917,sensor,all,0,2,92347190,125996560,391511011519,391511011519
1681416624917,sensor,all,0,18,6044748344,2065191721,391510251482,391510251482
1681416624917,sensor,all,0,3,25726187,16832175,391504682732,391504682732
1681416624917,sensor,all,0,22,22730336,15791356,391506981790,391506981790
1681416624917,sensor,all,0,4,16910974,10945421,391511370840,391511370840
1681416624917,sensor,all,0,5,17589020,15199764,391508606512,391508606512
1681416624917,sensor,all,0,23,11202078,8283997,391509470926,391509470926
1681416624917,sensor,all,0,20,3018395,6951767,391514570558,391514570558
1681416624917,sensor,all,0,6,17354561,12400355,391508985127,391508985127
1681416624917,sensor,all,0,7,14641337,10249803,391506965199,391506965199
1681416624917,sensor,all,0,21,345389,931269,391522555465,391522555465
1681416624917,sensor,all,0,8,2656868,4252869,391508465397,391508465397
1681416624917,sensor,all,0,9,17548828,19673555,391509378681,391509378681
1681416624917,sensor,all,0,11,2927588675,1301633744,391502212958,391502212958
1681416624917,sensor,all,0,10,15210118,12036325,391501779124,391501779124
1681416625918,sensor,all,0,13,623418,1738625,392523909945,392523909945
1681416625918,sensor,all,0,12,776978,2572881,392512682265,392512682265
1681416625918,sensor,all,0,15,2536677648,1013759762,392522532601,392522532601
1681416625918,sensor,all,0,14,75005557,69277868,392510047304,392510047304
1681416625918,sensor,all,0,17,712678,2162159,392518376378,392518376378
1681416625918,sensor,all,0,0,6238778,9857328,392509715704,392509715704
