seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65179,56.2,,,57.789592307118035,121.75,0.50349,0.9667,0.0,161957859528.0,40458528.0,1.2193357666666667,73.0,37.256476,2.08,45.0,1.9,1.589592307118032
65180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65181,51.0,,,53.357350915936664,121.8,0.43967,0.9652,0.0,162041940852.0,39073008.0,1.2526789833333334,75.0,43.622796,2.08,65.0,2.1,2.3573509159366637
65182,44.7,,,72.2189242549164,121.6,0.70294,0.979,0.0,162081013860.0,32610468.0,1.26935535,76.0,39.073008,2.08,65.0,2.1,27.5189242549164
65183,37.69,,,64.93838921360543,121.83,0.44166,0.9631,0.0,162113624328.0,28254516.0,1.2860258,77.0,32.610468,2.15,25.0,2.1,27.248389213605435
65184,38.61,,,55.21210605018666,121.83,0.40141,0.9648,0.0,162141878844.0,28462044.0,1.3026969166666666,78.0,28.254516,2.15,25.0,2.1,16.602106050186663
65185,41.58,,,58.056063862649815,121.79,0.51031,0.9773,0.0,162170340888.0,30779904.0,1.3193685,79.0,28.462044,2.15,24.0,2.1,16.476063862649816
65186,43.53,,,47.00101143342222,121.73,0.54771,0.9625,0.0,162201120792.0,30690780.0,1.33604135,80.0,30.779904,2.15,24.0,2.1,3.4710114334222197
65187,39.78,,,58.67682874516467,121.89,0.43255,0.9589,0.0,162231811572.0,29422848.0,1.3527144666666666,81.0,30.69078,2.15,22.0,2.1,18.89682874516467
65188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65189,40.2,,,49.89762357127954,121.93,0.47576,0.8193,0.0,162300310874.0,29908726.0,1.3860700833333333,83.0,39.076454,3.58,32.0,2.1,9.697623571279536
65190,33.63,,,54.08334251946421,121.79,0.46961,0.9616,0.0,162330219600.0,24989664.0,1.4027453333333333,84.0,29.908726,3.58,32.0,2.1,20.453342519464208
65191,34.9,,,58.84276943892336,121.84,0.46226,0.966,0.0,162355209264.0,25654404.0,1.4194270166666667,85.0,24.989664,3.58,17.0,2.1,23.942769438923364
65192,28.63,,,57.6389399422855,121.75,0.52641,0.972,0.0,162380863668.0,21401940.0,1.4361019833333333,86.0,25.654404,3.58,17.0,2.1,29.008939942285505
